,cleaned_hm,ground_truth_category
2714,Made more than my $2 goal for mechanical turk.,achievement
2715,I got a surprised gift from an old friend.,bonding
2716,"When my husband came home from work and gave me a kiss, it made me happy.",affection
2717,I went on a nice long walk.,leisure
2718,My fiance was super attentive to me today whereas he normally doesn't pay me enough mind.,affection
2719,The food that I ate during the past 24 hours made me happy for a short period of time after consuming it.,enjoy_the_moment
2720,My town has went threw so much bad weather in the past 24 hours. I am thankful that everyone is okay and no one got hurt. We have more storm to come and I am praying we get threw those too.,nature
2721,I am very happy at every movement in my family. i was born in 1993.my family is also wonderful and happy.my family is a best hard worker.,affection
2722,the long time ago i was meet my best friend. i was so happy that moment,bonding
2723,My close friend Subha called me yesterday evening and shared her happiness with me that her husband had got a salary hike along with promotion.,bonding
2724,"After reaching my office, i started my regular official works. Suddenly my colleague says to me, our boss called you go and meet her. I met her and she says you are promoted as assistant manager. I feel very happy in that moment.",achievement
2725,I had a wonderful chicken stew for dinner,enjoy_the_moment
2726,we think to celebrate this event so i give to party to my friends .it is very good fun time in my days.i feel very happy to this accusation.they also feel very happy to my promotion.it gives all good time to me.it makes lot of fun in that time.,bonding
2727,I drank a nice cold refreshing glass of Crush orange soda after working all day outside in the sun. ,achievement
2728,"Taking a nap this afternoon. I need rest, I usually work long hours as a level 1 med aide so when I can grab rest its greatly appreciated.",leisure
2729,"Also, this morning I bought a new Apple I Phone which is my long term wish to buy such one. Till now, I am using it & searching & learning new features in it happily.",achievement
2730,I got the news of my promotion to a higher post.,achievement
2731,I had an easy work day.,achievement
2732,evening i went to children home and look at them and helped them,affection
2733,played online multiplayer games and earn more money from rummy game. i won more amount from rummy game. its also memorable. ,leisure
2734,evening i went to children home and look at them and helped them,affection
2735,my best friend finally got a job.,bonding
2736,when i got a gift,enjoy_the_moment
2737,I helped a friend put some furniture together.,bonding
2738,I watched one of my favorite shows after a hiatus.,leisure
2739,"Last night my wife prepared a delicious fish dinner
",affection
2740,I went out for authentic Mexican food that was very good.,leisure
2741,A close friend of mine is coming to my place after almost 3 years. So excited to see her.,bonding
2742,My sister came to visit me today,affection
2743, I bought a new iPad like I'd been planning to for a while ,achievement
2744,Received a package I've been waiting for and got to play with it immediately.,enjoy_the_moment
2745,I went out in the market and met an old friend of me after many days and I felt happy.,bonding
2746,When I drank a milkshake last night.,enjoy_the_moment
2747,Purchased a New Television for watching TV programs from home.,achievement
2748,An old friend got in touch with me and asked if I would like to get coffee in the coming days.,bonding
2749,I won a scrabble game online against my friend with a new high score.,bonding
2750,"I walked past the mirror and noticed my reflection, all the hard work I am putting in to get healthy is paying off!",achievement
2751,I gained a few more followers on my Flickr profile.,achievement
2752,I made dinner for my mom.,affection
2753,I was happy my family liked the new recipe I tried for dinner last night. ,affection
2754,"I bowled a great game during my league tournament yesterday evening, it was about 50 points above my average - even though we didn't win the round, it was a very good game for me.",achievement
2755,I had a really delicious Vietnamese and Chinese dinner.,enjoy_the_moment
2756,Connecting with my estranged partner after not being on the same page for a while,bonding
2757,"When we went to McDonald's as a treat of sorts after her dentist appointment, my daughter got to play with several other kids on the playground after she ate. ",affection
2758,I was invited to lunch and had a great meal with great conversation.  ,enjoy_the_moment
2759,I was able to switch my cell phone plan to save money.,achievement
2760,I may have secured another photography job with a roller derby outfit.,achievement
2761,The grass that we planted in our back yard began to grow.,nature
2762,I went to see my parents. They were really happy to see me.,affection
2763,I found a necklace that had been lost for over a year.,achievement
2764,I received a promotion at work. ,achievement
2765,I spoke to my mother today about the regular family commitments and she advised me to take rest and not to do work late night. This make me happy.,affection
2766,"I got to take a nap yesterday, and I woke up feeling refreshed.",enjoy_the_moment
2767,ate banana pancakes,enjoy_the_moment
2768,Started the new Zelda.,achievement
2769,Today I'm happy because we've gotten a dumpster to throw away things my grandmother hoarded.,achievement
2770,my son basketball team won the championship,affection
2771,My friends asked me to meet up with them this afternoon for drinks.,bonding
2772,I proposed to my girlfriend and she said yes.,affection
2773,I got to play a new video game last night uninterrupted for more than an hour.,leisure
2774,Eating pizza made me happy. ,enjoy_the_moment
2775,I completed a section of a paper that I was writing.,achievement
2776,I got to sleep in today due to the bad weather. ,enjoy_the_moment
2777,Finding out that today would be a rain free day. I have a ton of stuff to take to the stuff in preparation for moving.,enjoy_the_moment
2778,"My boss, yesterday, said she could arrange my schedule so that I can come in at a later time on Thursday by switching with someone who comes in later that day.",achievement
2779,I enjoyed one more piece of birthday cake. ,enjoy_the_moment
2780,I was in my car and played my favorite music. I had just got a new head unit and did not really test it out. It sounded really good and had some real bass coming from my speakers. It sounded great.,enjoy_the_moment
2781,"The Cubs beat their division rival, Cardinals. I was texting my father throughout the game as he is a huge Cubs fan as well. ",affection
2782,I watched a basketball game.,leisure
2783,Discovered a new BBQ place in town that makes pretty solid BBQ!,leisure
2784,I watched a new TV program that was great.,leisure
2785,my brothers birthday celebration on my home so i enjoyed more,affection
2786,Seeing my son walking down the sidewalk after I had been searching for him for over an hour.  Happy Happy Happy ,affection
2787,I ate homemade bread puding,enjoy_the_moment
2788,I was able to find my favorite brand of nuts at Trader Joe's,achievement
2789,"This morning, around 10:20 am, I was talking with my girlfriend. Prior to that, I had been pissed off by some shit that my boss was doing and I didn't want to deal with him. So my girlfriend and I were texting and it helped take the stress away. Then towards the end of the conversation she called me her ""knight in shining armor"" and that genuinely made me happy because it was so innocent and positive in contrast to the hardships that I was going through with my boss. It made me smile and helped me put up with my boss today.",affection
2790,I went snorkeling in the reef and saw a large parrot fish and lots of smaller schools of fish.,nature
2791,We started a new job today and the plants we purchased were beautiful.,achievement
2792,"A small happy event that made me happy in the past 24 hours is my neighbor bringing in my trashcans for me and saying hello and being nice. I think it made me pretty happy for the rest of the day because I live in a ghetto poor neighborhood and disrespects my property and leaves trash everywhere, and this neighbor being different brought a different vibe to my life. We basically chatted about our jobs and where he came from and it was very interesting. He was former army and now worked as a security guard at the local casino. I warned him about young people doing burnouts with their cars and night. ",bonding
2793,Received the annual increment letter from my employer,achievement
2794,I helped a friend out in need with childcare and that made me feel good that I could help her out.,bonding
2795,I made a breakthrough at work regarding a project I'm working on.,achievement
2796,I listened to a great rap album.,leisure
2797,I won a free shirt at the mall.,achievement
2798,Today i mate one of my best friend  ,bonding
2799,Doing 5 reps of 80 pound dumbbells for shoulder press today at the gym.,exercise
2800,I was happy when I went to a baseball game,leisure
2801,I went out shopping.,leisure
2802,I saw my kid sister on the front paper for her varsity soccer team making it to regionals.,affection
2803,I had lots of time to play with my synthesizer today.,leisure
2804,"When I got up for work this morning my dogs were in a good mood. I have one dog who is old and arthritic but she's a talker. She was running around the house, howling, barking, and being feisty.  It makes me happy when they are happy and I know they are feeling well.",affection
2805,"I got a good report for the projects accomplished from work last month, which was a very happy way to start a Wednesday to provide motivation to press through the rest of the week with renewed enthusiasm and vigor! ",achievement
2806,"I had the best tasting ice tea that was green tea with chunks of mango and pineapple.  It was delicious taste in my mouth, I loved it!",enjoy_the_moment
2807,I made a coffee cake at home.,achievement
2808,I did well teaching people how to make objects to print for the 3D printer.,achievement
2809,"I decided to take a big step in my life and join my friend in Rodan + Fields skin care. I am beyond nervous, but very happy I can start making positive changes in my life.",bonding
2810,My husband brought toys for my son its fabulous its too good my son so happy am too,affection
2811,"I took the dog for a walk and we took a different path than normal, so we got to see new sites we had never seen before.",affection
2812,"The seat next to me on a long flight was empty, so I had more room to stretch out. ",enjoy_the_moment
2813,"I went to gym at morning it made me fresh, confidant and happy.",exercise
2814,I got my brother to his lab appointment on time this afternoon.,achievement
2815,Last night I was able to watch the new episode of Rick and Morty. It was the first new episode of the show in a year and a half.,leisure
2816,I went to Jason's Deli for lunch and ate a delicious sandwich.,leisure
2817,My friend Liz stopped by and thanked me for the photo I took of her and dropped off a newspaper she thought I would like.,bonding
2818,"the happiest moment in my life
the happiest moment in my life is when
im with someone special,shes been in my life
for almost 6years.whenever im with her i felt
complete,yes it may sounds weird but it is true.",affection
2819,"the happiest movement is change to person to person and time
to time, as far as regarding my happiest movement is
concerned when i completed my high school, it is definitely
an unforgettable movement for me all my family members was
waiting my result, it was just momentum movement,",achievement
2820,"every moment of my life is happy becz i leave the life in 
present but happiest moment when achieve in life some new.
",enjoy_the_moment
2821,Went to an employer this morning for an application and got interviewed and hired on the spot. I start at 8am tomorrow.,achievement
2822,"I got to eat gumbo for dinner, which is my favorite meal.",leisure
2823,I went to the gym and did a really hard workout that made me feel great and accomplished afterward.,exercise
2824,I spoke to a co-worker about a difficult personal issue he was having.,bonding
2825,Eating ice cream.,enjoy_the_moment
2826,I ate dunkin donuts and it was pretty good,leisure
2827,My cousins came to my house and my sons were very happy with them.,affection
2828,I finished all my work.,achievement
2829,Seeing my friend for dinner after not seeing her for a month.,bonding
2830,Someone was really kind and bought me ice cream today. ,bonding
2831,When my wife buying a new brand clothes for me,affection
2832,"I went clothes shopping with my son, and we both tried on some funny outfits while we were shopping.",affection
2833,today i went to the medic with my girlfriend and i was happy because i was with her,affection
2834,"the happiest movement is change to person to person and time
to time, as far as regarding my happiest movement is
concerned when i completed my high school, it is definitely
an unforgettable movement for me all my family members was
waiting my result, it was just momentum movement,
",affection
2835,"the happiest moment in my life
the happiest moment in my life is when
im with someone special,shes been in my life
for almost 6years.whenever im with her i felt
complete,yes it may sounds weird but it is true.",affection
2836,A small event that made me happy was all the birthday wishes I received for my birthday. I also got to spend time with my family.,affection
2837,"After dinner, my wife and I played cards together and listened to classical music.",affection
2838,"I have done an internship in a company after that i went to an interview,i have faced so many rounds finally i got selected and i got a job at that time i felt very happy.",achievement
2839,Today my father gifted me a new iphone. I was looking for a new phone from many days. And today he gifted me new phone. I am so excited and happy today. Love you dad.,affection
2840,I got salary for this month and my salary was more than I expected.,achievement
2841, My wife and I booked a hotel for next week for a couple night getaway. ,affection
2842,I had time to start on a coloring book after I came home from work.,leisure
2843,The wind finally quit blowing.,nature
2844,"My daughter told me that I was the best daddy in the world, then went on and said that each of our family members was ""the best in the world.""",affection
2845,went to my favourite concert yesterday,enjoy_the_moment
2846,"Today was my day off, so I was able to relax and catch up on the news while laying in bed.",leisure
2847,Last night my  friend GEORGE gift me gold chain on my birthday occasion its happiest event for me.,bonding
2848,I enjoyed happy hour with some coworkers at Dave and Busters after work.,bonding
2849,My girlfriend took me out to get a milkshake to celebrate completing a longtime goal.,affection
2850,"Yesterday evening when I go back to my home, my little daughter was smiling seeing me at home. It makes me feel very happy.",affection
2851,I took a nice and restful nap.,leisure
2852,"When I finally finished a chapter's worth of homework, it felt like a relief.",achievement
2853,"I went to the gym and got a crazy muscle pump, I felt amazing after.",exercise
2854,The road trip with my friends yesterday night made me feel happy,bonding
2855,I bought something on eBay today.,achievement
2856,I got praise from my supervisor for work I had done.,achievement
2857,Went to Shopping with my husband,affection
2858,My wife gave birth to a baby boy and this made me happy.,affection
2859,I bought a new bicycle.,achievement
2860,I was able to contain a spending habit.,achievement
2861,I WENT TO COLLEGE,achievement
2862,"I was playing a game with a friend that is turn based and he managed to keep up a good turn rate, which isn't common.  ",bonding
2863,I bought my wedding shoes!,achievement
2864,I got accepted for another assignment for the summer today. I had applied last week and my acceptance letter came today. Great!!!,achievement
2865,"I have the rest of this week, plus all of next week off from work.",enjoy_the_moment
2866,I was with my four nieces and the youngest one said that I was her favorite uncle.,affection
2867,I texted with a friend.,bonding
2868,"I celebrated my older brother's birthday today, and we had a a great time with family.",affection
2869,I had a nice hot shower on a cold day.,enjoy_the_moment
2870,I have saved up a lot of money and want to use it to do some remodeling on my house.  Last night I had the contractor come by to do a walk-through so he could give me an estimate and I can finally get started on this project.  ,achievement
2871,I was trying to book a flight ticket but there were issues with my credit card. I called on someone and it was resolved. Flight booked successfully.,achievement
2872,My favorite baseball team won an exciting game that went into extra innings,leisure
2873,I got a call from a old college friend after a long time.,bonding
2874,I had bought a mango flavored fruit smoothie at a store near work today. It was so good.,enjoy_the_moment
2875,I picked my daughter up from school and found out she got a 97 on a test she took that she was worried would be a hard test.,affection
2876,In the past 24 hours something that made me happy is that one of my dogs that ran away came back home. ,affection
2877,In the morning i was happy due to find many HITS on Mturk. i did around 2 hours work and earn $10.00 in 2 hours.,achievement
2878,I was able to get to bed really early after my daughter had fallen asleep.,affection
2879,The weather turned milder and it felt like spring!,nature
2880,I got a phone call from a friend. ,bonding
2881,I was able to teach my dog how to properly shake.,achievement
2882,I met up with a woman I am interested in and we took a long walk and talked about a lot of stuff.,affection
2883,Last night I went to book club and enjoyed the company of good friends.,bonding
2884,I made my mturk goal of $60 and was actually $10 over it.,achievement
2885,I had work off today to do other errands!,achievement
2886,I received a job offer with a competitive compensation.,achievement
2887,"I met a couple of my buddies from high school yesterday, after a long time.",bonding
2888,I was happy when I was watching a movie with my kid and spending quality time together.,affection
2889,"I finished the assignment for my class this afternoon yesterday, far earlier than I usually finish it.",achievement
2890,"A mom of a girl I teach sent me a text asking if I screenshotted her pic on snapchat. I replied, ""guilty"", and she quickly replied by sending another picture of her smiling and said ""you could have just asked"". ",affection
2891,The chicken I made for dinner last night was amazing.,achievement
2892,My brother came from abroad and he give me a watch,affection
2893,Today i got an unexpected leave from my work.,achievement
2894,Taking my children to daycare for the first time in years made me happy yesterday. ,affection
2895,I was happy when my family and I went out to dinner last night.  My child behaved and I ate a good meal.,affection
2896,I went for a long walk with my dogs.,exercise
2897,I was really happy at work when I had completed all of the tasks assigned in a timely manner with extra time to spare for myself. ,achievement
2898,I found out my boss is going to be away today which made me very happy!,enjoy_the_moment
2899,"When I was lifting weights at the gym I squatted 220, this made me happy because it is a new record for me. ",achievement
2900,Figured out a solution to my project issue,achievement
2901,Getting enough break in the rain to bug spray.,nature
2902,I finished my coursework in time.,achievement
2903,I got tickets to a concert of one of my favorite bands.,leisure
2904,I got to spend time working on a couple of my hobbies that I haven't had time for lately.,leisure
2905,My daughter told me she loved me and she was glad that I was her dad and not someone else as I was trying to help her feel better since she was sick.,affection
2906,My friend called me after 6 months to invite me for her wedding ,bonding
2907,"Actually yesterday evening i was playing hide and seek with my sisters cute little girl, which made me feel really very happy.",affection
2908,"My friend Liz came over to hang out last night, and brought her playstation for me to borrow.",bonding
2909,I went to a trivia contest with friends.,bonding
2910,my favorite show came back on tv for a new season.,leisure
2911,I finally mopped my kitchen,achievement
2912,"My son, from across the country, called to chit chat.",affection
2913,Took my wife shopping,affection
2914,I watched my daughter play polo at school and she was so happy.,affection
2915,I watched my daughter dance yesterday at class.,affection
2916,I am an insomniac and I was able to sleep well last night.,achievement
2917,I went to the grocery store and saw that blackberries were on sale. I love berries so I bought a couple of pints. Then while I was in the store it dawned on me that I could make some nice turnovers so I bought puff pastry too. Then I came home and made awesome berry turnovers. They were delicious!,enjoy_the_moment
2918,I had a lunch at house of my mother and it was great.,affection
2919,I watched an Indians baseball game on my computer.,leisure
2920,I got to play with my baby daughter and make her laugh.,affection
2921,It really made me happy when my husband came to visit me at work.,affection
2922,I had a fantastic pizza for dinner.,leisure
2923,"My kids spent the morning making a ""ride"" out of blankets and pillows and I pulled them around the house on it while we all laughed.",affection
2924,I got my car serviced which was beginning to stress me out yesterday morning.,achievement
2925,My husband was on TV twice talking about our upcoming symphony concert.,affection
2926,My long time friend called and we talked for a while. We mostly talked about the things we did together in the past and how fun it would be if we were to hang out again.,bonding
2927,I went to hang out with a friend for a little while.,bonding
2928,My mother finally decided she wanted to take a vacation to Washington.,affection
2929,"I have been sick for the past three days and when I woke up this morning, I noticed that I am starting to feel better.",achievement
2930,"Someone whose help I really, badly needed perfectly understood what I was trying to communicate without my having to explain it in detail.",bonding
2931,Cleaning out my car,achievement
2932,I ran out for cardio early in the morning ,exercise
2933,Yesterday i attended my friends marriage function and i was very happy to see all of my old friends.,bonding
2934,"After work, I ordered some take-out online and it got to my apartment within 20 minutes, far faster than expected.",achievement
2935,I made decent sales today in my online store,achievement
2936,I watched a movie with my kids.,affection
2937,I just found a movie that I enjoy on our cable company's on demand service.,leisure
2938,I found out that I don't have to go to work tomorrow ,enjoy_the_moment
2939,"i played cards in the evening hours with my friends, though i lost some amount of money i enjoyed those moments
",bonding
2940,Completing my anthropology 102 test and feeling pretty good about it.,achievement
2941,I received an unexpected email today from a friend who hasn't been in touch.  It really cheered me up.,bonding
2942,I made a funny image.,enjoy_the_moment
2943,My son used his potty chair for the first time!,affection
2944,Went to the grocery store to purchase lamb chops which I cooked for my wife and myself for dinner. ,affection
2945,I talked to my friend about stuff we're planning to do this weekend.,bonding
2946,I talked to my son.,affection
2947,I made a new friend on the TV station tour.,bonding
2948,I sorted and organized all my tax documents in preparation to file my taxes.,achievement
2949,"Attending a meeting at work and knowing that people respect my opinion but also laugh when I make a joke. It makes me happy to feel appreciated, valued, and liked.",bonding
2950,"Got a work project with excellent timing, and I could use the extra money.",achievement
2951,I cooked dinner for my wife and she said it tasted really good.,affection
2952,I went for a loan and got it sanctioned.,achievement
2953,I saw my Dad at his workplace and traded cars with him so he could get mine fixed.,affection
2954,Today my birthday we all arranged grand party in mall we enjoying a lot here,enjoy_the_moment
2955,I drove my mom to meet a pastor she really loves from a TV show. It was in San Jose and it took me about 8 hours back and forth the drive and the meeting. I love healing my mom whenever I can.,affection
2956,I was happy when I went for my jog this morning and found $20.,exercise
2957,I slow-cooked a delicious meal in the crock pot with healthy ingredients.,achievement
2958,A stranger complimented my choice of dress. ,enjoy_the_moment
2959,It stopped raining during my drive home. ,nature
2960,Had a nice and relaxing coffee break with a friend from work.,bonding
2961,I baked a special sugar free wheat cake for my mother who is having diabetes.,affection
2962,I got all my trees in my yard trimmed,achievement
2963,I got to speak to a family member I have not seen in awhile. ,affection
2964,My sister came over with my nephew and they lifted my mood.,affection
2965,My cat is gaining weight with the new food the vet prescribed for him. ,affection
2966,I talked to my mother.,affection
2967,I had a delicious breakfast.,enjoy_the_moment
2968,"it is funny how big of an impact she have on me. it's been a
year i thought im already over with her, but im wrong.so wrong.",bonding
2969,my memorable day is my school days. i enjoy a lot with my school friend 9and 10class ..we sat in last bench. we dnt no ay abt subject i always be failed in all exams.bt last time in 10th I am passed .so surprise for me. so i finally passed....,bonding
2970,"My happiest moment was when I gave birth to my son. After
nine long months of waiting to meet him, at last that day
came. I was just so happy, and its unexplainable!",affection
2971,I posted a picture of Waggaki Band on Facebook and got good responses from my associates.,achievement
2972,I completed a mturk hit that paid $3.00.,achievement
2973,I got to talk to my niece and nephew on the phone. They are my favorites.,affection
2974,I got to take a long bath this evening.,enjoy_the_moment
2975,An old friend added me on facebook who i havent talked to in a while.,bonding
2976,Watched a really good funny movie with family,leisure
2977,"I received a job offer last night around this time, which is a weird time to get a job offer, but the timing couldn't be perfect. ",achievement
2978,Listening to music and relaxing,leisure
2979,I set daily goals for myself in order to make sure that I have all the things necessary for a successful and happy future. Today I have met all my daily goals and that is something that makes me proud and happy,achievement
2980,"I was approved for a savings account today. I opened it, was approved and deposited some money for something I'm saving for for the next few months. I felt accomplished and happy.",achievement
2981,I worked out by running on the treadmill and lifting some weights.,exercise
2982,"I bought a scratch-off lottery ticket at the gas station, and won $5.",achievement
2983,today i could sell a couple of old pants and i could buy some pot that made me happy,achievement
2984,I got a Legendary card in Clash Royale.,leisure
2985,I was woken up to the smell of bacon and eggs.,enjoy_the_moment
2986,I ordered socks in online and received before the delivery date. I was very happy because my old socks were torn on that day.,enjoy_the_moment
2987,My boyfriend sent me a sweet birthday post.,affection
2988,i went to a temple yesterday i saw a marriage of ram and sita it was very interesting to see that moment and i was very happy to see that.,enjoy_the_moment
2989, I was able to get off work a little early today. ,achievement
2990, Report cards came out at all my kids are doing great. ,affection
2991,My dad decided he wanted to start stamp collections with all his grandkids.,affection
2992,I made chili for dinner.,achievement
2993,Having dinner at Steak and Shake made me happy.,enjoy_the_moment
2994,I WENT TO BROWSING CENTER,leisure
2995,I WENT TO MOVIE,leisure
2996,I found $100! Two $50 dollars just lying in the street after I came back from the gym. I'm so happy I went to the gym and it seems I got a reward from the Universe for doing so!,achievement
2997,I cooked my favorite Biriyani and i felt very thrilled about it.,enjoy_the_moment
2998,All my family members give me surprise party on my birthday party occasion early morning its a happiest moment for me,affection
2999,"That I made it to work safely yesterday, as the weather was bad. ",achievement
3000,The car that i was presented is one of the rarest collection of Austin.,achievement
3001,I love play Soccer with my Friends in the Stadium ,exercise
3002,My package came in the mail today from eBay. The best thing about this was that I wasn't expecting it for at least another two days so I was pleasantly surprised when I saw that it was delivered. ,enjoy_the_moment
3003,I had a very interesting conversation with a friend.,bonding
3004,I was having lunch with some old friends.,bonding
3005,I snuggled with my cat while he purred in my arms.,affection
3006,I had a nap with the cats.,leisure
3007,My husband made me happy this morning when he kissed me goodbye before going to work.,affection
3008,I went on a long walk and let some of my problems fall away.  ,exercise
3009,I went to computer class.,achievement
3010,I have made 300 bucks on Mturk this week so far and its only Thursday!,achievement
3011,I have made 300 bucks on Mturk this week so far and its only Thursday!,achievement
3012,"Unexpectedly I got prize money of Scholarship with Huge Amount for my best track record in University, totall our friend circle we spent more time on party. ",achievement
3013,I got a royal flush while playing poker.,leisure
3014,I lost weight.,achievement
3015,two of my fantasy league  baseball teams continued their strong play at the beginning of this season.,leisure
3016,Received a phone call with good news about a work event.,achievement
3017,My wife finally decided to go back to college to finish her degree after me insisting for a long time.,affection
3018,I made myself a very good meal.,enjoy_the_moment
3019,I spent the day touring Maymont park with my son and his family,affection
3020,Made a nice dinner. ,achievement
3021,I WENT TO MOVIE,leisure
3022,I WENT TO BROWSING CENTER,leisure
3023,I WENT TO MOVIE,leisure
3024,"I got in touch with a friend that I have not spoken to in three years.  He is a great friend, and I am beyond pleased to be in touch again.",bonding
3025,I was happy recently within the last 24 hours when I did well on an important quiz in one of my classes.,achievement
3026,"My allergies randomly became really gentle yesterday night, so I've been breathing, smelling and sleeping uncharacteristically well!",enjoy_the_moment
3027,Purchased a washing machine for washing my clothes.,achievement
3028,"It took me a while to come up with an answer, as I generally try to make each day the happiest day of my life. The answer I gave was the day I left school and started work. Is this the happiest day of my life? No of course not, but this is the foundation of what has allowed me to experience thousands of happy moments in my life.",enjoy_the_moment
3029,"I was able to complete my readings and notations for a class I'm to teach today, when I thought previously I wouldn't find the time.",achievement
3030,My roommate inflated my tire for me so my car is safer.,bonding
3031,My kids went to bed without a fight tonight.,affection
3032,After 4 years I ran into a friend and talked about our past as well as future events. ,bonding
3033,I had an energizing morning workout.,exercise
3034,Had lunch with my friend and neighbor Shirley and my Mom. We had fun catching up,bonding
3035,I enjoyed working from home.,enjoy_the_moment
3036,I made plans with friends for the next evening.,bonding
3037,I purchased a new micro oven.,achievement
3038,Last night my daughter had solid food for the first time.,affection
3039,I was happy when my partner brought me a bag of bagels since I love bagels.,bonding
3040,My daughter has been sick and had a fever.  Last night her fever finally broke which made me very happy. ,affection
3041,Beat a super difficult level in Super Mario 64.,achievement
3042,I has some delicious fresh pineapple for dessert.,enjoy_the_moment
3043,I was happy to awake to a restful nights sleep.,enjoy_the_moment
3044,I received a $25 gift card for Amazon from a website that tracks my browser activity.,achievement
3045,My fiance and I had the opportunity to look at some wedding venues.,affection
3046,My roommate made me dinner after a long day at work.,bonding
3047,I love the food my mother cooked for us.,affection
3048,Feeding dinner to my son.,affection
3049,I got a 10 dollar gift card to starbucks.,achievement
3050,I participated in the cooking competition and has been awarded prize for the competition.This moment made me feel happy,achievement
3051,The happiest day of my life was when I got the chance to be one of the EMS. I felt like I was being carried away by them because the EMS are expert in lit as well as in linguistics. they are also taught to be a good citizen of our society.,enjoy_the_moment
3052,The first cup of french pressed coffee I had this morning.,enjoy_the_moment
3053,I received a card from my grandfather and it instantly made me happy.,affection
3054,I took my kids to dance and they were excited and seeing them happy and excited made me happy as well. ,affection
3055,I ran into an old friend on the train this morning and we cauhgt up and made plans to hang out!,bonding
3056,I enjoyed a wonderful dinner out with my sister and mother. ,affection
3057,It was my mother's birthday and she thanked me for the present she received,affection
3058,I took my kids to an easter egg hunt party with my friends and they all had so much fun. They were so tired afterward but they just couldn't wind down and stop talking about how much fun they had. ,affection
3059,I earned a few dollars on mturk.,achievement
3060,I tried a new recipe for a gluten free cake and it came out delicious!,achievement
3061,My daughter made a terrible pun and it made me proud of her.,affection
3062,I finished a project I was knitting and it turned out very well.,achievement
3063,I went out driving with one of my friends,bonding
3064,I went on a very long walk with my dogs in the pleasant sun.,affection
3065,Watching the whole Fast and Furious movies marathon before the new one comes out.,leisure
3066,My daughter chose to stay at home with me instead of going to the store with her mom.,affection
3067,"I was playing video games today, it was rather enjoyable",leisure
3068,Help my dad with some repairs. I know he'll appreciate it.,affection
3069,My daughter was almost late to school this morning but made it on time with 5 minutes to spare.,affection
3070,I saw my boyfriend for lunch today.,affection
3071,"After the last few weeks of heavy duty grandchildren involvement, I felt very happy today to have a day to myself to get some things done and just chill out, even though I love being with my grandchildren.",enjoy_the_moment
3072,I found a good toy for my cat he loves,affection
3073,I didn't have to drive my husband to his interview,affection
3074,I received a $5 bonus for a mturk this morning!,achievement
3075,It made me happy to have the whole family at dinner yesterday.,affection
3076,"I listened to a new music album on the way to work, and I enjoyed it very much. I am looking forward to listening tomorrow.",enjoy_the_moment
3077,Yesterday i attended the book launch program and i was very happy to see a writer of this book and finally i bought this book.,enjoy_the_moment
3078,I was listening to my daughter read tonight.  She is only in kindergarten but learning quickly.,affection
3079,"I caught an error in our fixed asset database at work, and a manager e-mailed me thanks and copied my boss on the e-mail.",achievement
3080,"My husband renewed our Prime membership, so I would be able to go shopping for Easter. ",affection
3081,I met an old friend and went with him to a bar for drinks which brought back some good memories.,bonding
3082,I saw a beautiful bird at my bird feeder today,nature
3083,I helped create music with my friend.,bonding
3084,I talked to my father on the phone.,affection
3085,Played video games with the same set of people that I ate out with and had a blast because a lot of funny thing occurred.,leisure
3086,I had a great dinner of steak and potatoes ,enjoy_the_moment
3087,I cooked bananas foster.,leisure
3088,"The insurance company came and looked at the roof, so I don't have to deal with that anymore.",achievement
3089,My son found The Real Ghostbusters on Netflix so we sat down and watched a few cartoons together. ,affection
3090,I realized I had an extra piece of candy when I thought none was left.,achievement
3091,"Lately, I worry that she hasn't been eating enough, however this morning my dog ate quite a bit more than she normally does. ",affection
3092,It is going to snow a few inches and then it will be 70 on Saturday.,nature
3093,I read a great article about gardening and jarring jellies.  It was a very informative and interesting article.  That made me very happy I could sit down and read the entire article.,leisure
3094,I broke my old record in cycling speed by going over 35 MPH on my bicycle.,achievement
3095,I cooked a pot roast for dinner and it came out really well. ,achievement
3096,I ate pizza for dinner tonight!,enjoy_the_moment
3097,My husband came home from work and tucked the kids in bed. It had been a long day and I was thankful for the help.,affection
3098,Yesterday i went to buy new shirt and i was very happy because i got 50% discount on that shirt because the shopper selected my name for all the people present in the store in the lucky draw.,achievement
3099,I was able to do a sewing project that was something I had never done before!,achievement
3100,I got to sleep in.,leisure
3101,I was finally able to get a full night's sleep.,achievement
3102,I ate a tasty gyro.,enjoy_the_moment
3103,The day with my pet,affection
3104,i had a great run.,exercise
3105,Talked to my daughter on the phone,affection
3106,I had a really good lunch.,enjoy_the_moment
3107,my memorable day is my school days. i enjoy a lot with my school friend 9and 10class ..we sat in last bench. we dnt no ay abt subject i always be failed in all exams.bt last time in 10th I am passed .so surprise for me. so i finally passed....,bonding
3108,I cleaned out the tanks on my rv which I had been putting off all winter.,achievement
3109,"This morning, my dog came up and lied next to me in bed to snuggle. He has been doing this less and less recently, so to have him do it again made me happy.",affection
3110,I got my salary credited today morning to my bank account and that moment feels happy.,enjoy_the_moment
3111,"I made a good amount of money freelancing before and after work, really was surprised and pleased by that.",achievement
3112,My friend and I discussed an upcoming hike we're going on together.,bonding
3113,I got to see a few of my wedding pictures today and they looked absolutely incredible!,enjoy_the_moment
3114,I tried putting a shirt on that was previously a bit too snug for comfort and it now fits perfectly.,achievement
3115,My husband came home from work.,affection
